"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Seated Incline Curl (Dumbbell)",,"",0,"normal",12,15,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Seated Incline Curl (Dumbbell)",,"",1,"normal",14,15,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Seated Incline Curl (Dumbbell)",,"",2,"normal",16,12,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Pullover (Dumbbell)",,"",0,"normal",20,20,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Pullover (Dumbbell)",,"",1,"normal",24,20,,,
"Lats???","14 May 2025, 16:57","14 May 2025, 18:05","","Pullover (Dumbbell)",,"",2,"normal",26,22,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","HIIT",,"",0,"normal",,,,1260,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Incline Bench Press (Dumbbell)",,"",0,"normal",60,11,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Incline Bench Press (Dumbbell)",,"",1,"normal",60,10,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Incline Bench Press (Dumbbell)",,"",2,"normal",60,9,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",95,9,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",90,13,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",90,13,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Skullcrusher (Dumbbell)",,"",0,"normal",14,13,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Skullcrusher (Dumbbell)",,"",1,"normal",14,14,,,
"Fuck yeah! Momday!","12 May 2025, 16:48","12 May 2025, 17:49","","Skullcrusher (Dumbbell)",,"",2,"normal",14,14,,,
"Yes....","9 May 2025, 16:29","9 May 2025, 17:07","","Cross Body Hammer Curl",,"",0,"normal",10,15,,,
"Yes....","9 May 2025, 16:29","9 May 2025, 17:07","","Cross Body Hammer Curl",,"",1,"normal",10,15,,,
"Yes....","9 May 2025, 16:29","9 May 2025, 17:07","","Cross Body Hammer Curl",,"",2,"normal",10,15,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","HIIT",,"",0,"normal",,,,1260,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Triceps Extension (Suspension)",,"21 rett",0,"normal",,10,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Triceps Extension (Suspension)",,"21 rett",1,"normal",,11,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Triceps Extension (Suspension)",,"21 rett",2,"normal",,17,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Lateral Raise (Dumbbell)",,"Full lat",0,"normal",8,15,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Lateral Raise (Dumbbell)",,"Full lat",1,"normal",8,15,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Lateral Raise (Dumbbell)",,"Full lat",2,"normal",8,17,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Deadlift (Barbell)",,"Paused",0,"normal",80,10,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Deadlift (Barbell)",,"Paused",1,"normal",80,10,,,
"Yeeeeh boooy","7 May 2025, 16:51","7 May 2025, 17:52","","Deadlift (Barbell)",,"Paused",2,"normal",80,10,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Incline Bench Press (Dumbbell)",,"",0,"normal",60,10,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Incline Bench Press (Dumbbell)",,"",1,"normal",60,10,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Incline Bench Press (Dumbbell)",,"",2,"normal",60,10,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Lat Pulldown (Cable)",,"",0,"normal",65,17,,,
"Hell yeah","5 May 2025, 16:27","5 May 2025, 17:39","","Lat Pulldown (Cable)",,"",1,"normal",65,17,,,
